UID: 1000, Filename: test_file_3.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_4.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint: 114a42c9b6bb79caa5f4f5141a2ac6f0 ;
UID: 1000, Filename: test_file_5.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint: 67b91832a27c50ee216e97f2af216eb5 ;
UID: 1000, Filename: test_file_6.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint: 10a67944b571b1bfc02a630d7add224d ;
UID: 1000, Filename: test_file_7.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint: 6c2973c8773d752c41c8f8c6b57193a4 ;
UID: 1000, Filename: test_file_8.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_8.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_9.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_9.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_10.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_10.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_11.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1000, Filename: test_file_11.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 1, File fingerprint:  ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 2809e23ee40e3c00fbdcbaafca98ceac ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 2809e23ee40e3c00fbdcbaafca98ceac ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: a605a3aa31516090e5d6ddd54901c629 ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: a605a3aa31516090e5d6ddd54901c629 ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 0187ba2689c10dea878f8c1cd07b33e5 ;
UID: 1001, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 0187ba2689c10dea878f8c1cd07b33e5 ;
UID: 1002, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: e82a2cb18ad9500e965b5b03dcb56af2 ;
UID: 1002, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: e82a2cb18ad9500e965b5b03dcb56af2 ;
UID: 1000, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: b11074c95107d64a607d96ecd108b55f ;
UID: 1000, Filename: test_file_12.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: b11074c95107d64a607d96ecd108b55f ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: d5ff81178c06a0d7d9f91bafe1431c12 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: d5ff81178c06a0d7d9f91bafe1431c12 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 593d10e99119bcf8bf2987d7b1b26013 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 593d10e99119bcf8bf2987d7b1b26013 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 153ceffc5d367b5422ca67bd322c57e2 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 153ceffc5d367b5422ca67bd322c57e2 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 1e1ce935aebc7b1069dab36ca2dbd241 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 1e1ce935aebc7b1069dab36ca2dbd241 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 1, Access denied flag: 0, File fingerprint: 1880fb3cb240f2b3372403c73e37d4f2 ;
UID: 1000, Filename: test_file_13.txt, Date: 18/11/2023, Timestamp: 21:58:01, Access Type: 2, Access denied flag: 0, File fingerprint: 1880fb3cb240f2b3372403c73e37d4f2 ;
